Ano,Region ,Hombre,Mujer
2022,Región Valdesia,177,21
2022,Peravia,62,5
2022,San Cristóbal,102,14
2022,San José de Ocoa,13,2
2022,Región Enriquillo,57,6
2022,Baoruco,14,2
2022,Barahona,28,4
2022,Independencia,9,0
2022,Pedernales,6,0
2022,Región El Valle,122,18
2022,Azua,69,6
2022,Elías Piña,11,4
2022,San Juan,42,8
2022,Región Yuma,162,29
2022,El Seibo,17,4
2022,La Altagracia,104,17
2022,La Romana,41,8
2022,Región Higuamo,114,16
2022,San Pedro de Macorís,54,9
2022,Monte Plata,49,4
2022,Hato Mayor,11,3
2022,No declarado ,0,0
2023,Región Ozama,293,51
2023,Distrito Nacional,81,12
2023,Santo Domingo,212,39
2023,Región Cibao Norte,235,39
2023,Espaillat,54,5
2023,Puerto Plata,84,11
2023,Santiago,97,23
2023,Región Cibao Sur,189,36
2023,La Vega,108,23
2023,Sánchez Ramírez,27,4
2023,Monseñor Nouel,54,9
2023,Región Cibao Nordeste,146,17
2023,Duarte,44,6
2023,María Trinidad Sánchez,47,6
2023,Hermanas Mirabal,22,2
2023,Samaná,33,3
2023,Región Cibao Noroeste,105,17
2023,Dajabón,20,1
2023,Monte Cristi,31,7
2023,Santiago Rodríguez,13,2
2023,Valverde,41,7
2023,Región Valdesia,220,29
2023,Peravia,59,9
2023,San Cristóbal,144,17
2023,San José de Ocoa,17,3
2023,Región Enriquillo,78,10
2023,Baoruco,25,2
2023,Barahona,28,3
2023,Independencia,12,5
2023,Pedernales,13,0
2023,Región El Valle,113,15
2023,Azua,52,6
2023,Elías Piña,8,1
2023,San Juan,53,8
2023,Región Yuma,196,31
2023,El Seibo,23,0
2023,La Altagracia,124,27
2023,La Romana,49,4
2023,Región Higuamo,99,14
2023,San Pedro de Macorís,45,7
2023,Monte Plata,40,4
2023,Hato Mayor,14,3
2023,No declarado ,0,0
